3189	5000	1	5	0.001	84.0
13594	5000	1	5	0.001	76.4
4	5000	1	5	0.001	47.6
Media:5000	1	5	0.001	67.86
1234	5000	1	5	1.0E-4	45.8
242359	5000	1	5	1.0E-4	64.8
986	5000	1	5	1.0E-4	46.4
5437	5000	1	5	1.0E-4	73.2
72463	5000	1	5	1.0E-4	44.4
97856	5000	1	5	1.0E-4	59.8
7105	5000	1	5	1.0E-4	49.6
3189	5000	1	5	1.0E-4	75.4
13594	5000	1	5	1.0E-4	61.4
4	5000	1	5	1.0E-4	37.4
Media:5000	1	5	1.0E-4	55.81999999999999
1234	5000	1	5	1.0E-5	39.6
242359	5000	1	5	1.0E-5	62.6
986	5000	1	5	1.0E-5	46.4
5437	5000	1	5	1.0E-5	65.0
72463	5000	1	5	1.0E-5	45.4
97856	5000	1	5	1.0E-5	63.0
7105	5000	1	5	1.0E-5	57.0
3189	5000	1	5	1.0E-5	79.0
13594	5000	1	5	1.0E-5	63.2
4	5000	1	5	1.0E-5	34.8
Media:5000	1	5	1.0E-5	55.6
1234	5000	1	6	0.1	68.2
242359	5000	1	6	0.1	89.6
986	5000	1	6	0.1	54.0
5437	5000	1	6	0.1	96.4
72463	5000	1	6	0.1	57.2
97856	5000	1	6	0.1	83.8
7105	5000	1	6	0.1	71.4
3189	5000	1	6	0.1	95.4
13594	5000	1	6	0.1	81.0
4	5000	1	6	0.1	60.0
Media:5000	1	6	0.1	75.7
1234	5000	1	6	0.01	67.2
242359	5000	1	6	0.01	85.8
986	5000	1	6	0.01	53.0
5437	5000	1	6	0.01	101.2
72463	5000	1	6	0.01	53.6
97856	5000	1	6	0.01	84.4
7105	5000	1	6	0.01	61.6
3189	5000	1	6	0.01	90.4
13594	5000	1	6	0.01	80.6
4	5000	1	6	0.01	55.0
Media:5000	1	6	0.01	73.28
1234	5000	1	6	0.001	63.0
242359	5000	1	6	0.001	83.4
986	5000	1	6	0.001	49.4
5437	5000	1	6	0.001	92.2
72463	5000	1	6	0.001	47.0
97856	5000	1	6	0.001	81.6
7105	5000	1	6	0.001	57.8
3189	5000	1	6	0.001	92.8
13594	5000	1	6	0.001	69.0
4	5000	1	6	0.001	50.0
Media:5000	1	6	0.001	68.62
1234	5000	1	6	1.0E-4	46.8
242359	5000	1	6	1.0E-4	63.8
986	5000	1	6	1.0E-4	42.8
5437	5000	1	6	1.0E-4	54.4
72463	5000	1	6	1.0E-4	38.0
97856	5000	1	6	1.0E-4	51.6
7105	5000	1	6	1.0E-4	51.6
3189	5000	1	6	1.0E-4	73.6
13594	5000	1	6	1.0E-4	57.8
4	5000	1	6	1.0E-4	32.0
Media:5000	1	6	1.0E-4	51.24000000000001
1234	5000	1	6	1.0E-5	40.4
242359	5000	1	6	1.0E-5	52.8
986	5000	1	6	1.0E-5	46.8
5437	5000	1	6	1.0E-5	50.4
72463	5000	1	6	1.0E-5	44.4
97856	5000	1	6	1.0E-5	57.8
7105	5000	1	6	1.0E-5	43.8
3189	5000	1	6	1.0E-5	73.4
13594	5000	1	6	1.0E-5	62.2
4	5000	1	6	1.0E-5	40.0
Media:5000	1	6	1.0E-5	51.2
1234	5000	1	7	0.1	71.6
242359	5000	1	7	0.1	90.2
986	5000	1	7	0.1	54.0
