MaxIts It/paso K lambda BeneficiosMedios
5000 40 3 1.0E-5 68.55999999999999
5000 40 4 0.1 75.32
5000 40 4 0.01 74.7
5000 40 4 0.001 72.1
5000 40 4 1.0E-4 62.75999999999999
5000 40 4 1.0E-5 60.1
5000 40 5 0.1 74.34
5000 40 5 0.01 74.32000000000001
5000 40 5 0.001 68.44000000000001
5000 40 5 1.0E-4 55.94
5000 40 5 1.0E-5 55.06
5000 40 6 0.1 74.96000000000001
5000 40 6 0.01 73.49999999999999
5000 40 6 0.001 63.8
5000 40 6 1.0E-4 52.839999999999996
5000 40 6 1.0E-5 49.28
5000 40 7 0.1 73.80000000000001
5000 40 7 0.01 72.42
5000 40 7 0.001 62.000000000000014
5000 40 7 1.0E-4 48.8
5000 40 7 1.0E-5 48.620000000000005
5000 40 8 0.1 74.3
5000 40 8 0.01 70.28
5000 40 8 0.001 61.06
5000 40 8 1.0E-4 46.18
5000 40 8 1.0E-5 45.459999999999994
5000 40 9 0.1 72.44
5000 40 9 0.01 71.02000000000001
5000 40 9 0.001 59.0
5000 40 9 1.0E-4 44.019999999999996
5000 40 9 1.0E-5 44.03999999999999
5000 40 10 0.1 73.36000000000001
5000 40 10 0.01 70.52000000000001
5000 40 10 0.001 59.52000000000002
5000 40 10 1.0E-4 41.56
5000 40 10 1.0E-5 40.4
5000 40 15 0.1 70.7
5000 40 15 0.01 65.96000000000001
5000 40 15 0.001 54.4
5000 40 15 1.0E-4 38.440000000000005
5000 40 15 1.0E-5 37.68
5000 40 20 0.1 70.6
5000 40 20 0.01 64.8
5000 40 20 0.001 49.059999999999995
5000 40 20 1.0E-4 37.92
5000 40 20 1.0E-5 38.24
5000 40 25 0.1 69.78
5000 40 25 0.01 62.70000000000001
5000 40 25 0.001 48.72
5000 40 25 1.0E-4 37.02
5000 40 25 1.0E-5 36.64
5000 40 30 0.1 69.19999999999999
5000 40 30 0.01 63.44
5000 40 30 0.001 49.339999999999996
5000 40 30 1.0E-4 36.260000000000005
5000 40 30 1.0E-5 37.2
5000 40 40 0.1 68.64000000000001
5000 40 40 0.01 61.279999999999994
5000 40 40 0.001 47.58
5000 40 40 1.0E-4 37.1
5000 40 40 1.0E-5 34.519999999999996
5000 40 50 0.1 68.17999999999999
5000 40 50 0.01 56.94000000000001
5000 40 50 0.001 46.84
5000 40 50 1.0E-4 35.28
5000 40 50 1.0E-5 35.339999999999996
5000 40 60 0.1 68.03999999999999
5000 40 60 0.01 55.239999999999995
5000 40 60 0.001 46.17999999999999
5000 40 60 1.0E-4 35.9
5000 40 60 1.0E-5 36.12
5000 40 70 0.1 67.64
5000 40 70 0.01 59.05999999999999
5000 40 70 0.001 46.72
5000 40 70 1.0E-4 35.5
5000 40 70 1.0E-5 36.46
5000 50 1 0.1 77.08
5000 50 1 0.01 76.41999999999999
5000 50 1 0.001 76.74
5000 50 1 1.0E-4 77.14000000000001
5000 50 1 1.0E-5 76.6
5000 50 2 0.1 76.06
5000 50 2 0.01 76.44
5000 50 2 0.001 76.46000000000001
5000 50 2 1.0E-4 74.74
5000 50 2 1.0E-5 73.29999999999998
5000 50 3 0.1 76.04
5000 50 3 0.01 76.02000000000001
5000 50 3 0.001 74.55999999999999
5000 50 3 1.0E-4 69.9
5000 50 3 1.0E-5 68.00000000000001
5000 50 4 0.1 75.6
5000 50 4 0.01 75.58
5000 50 4 0.001 71.64
5000 50 4 1.0E-4 63.71999999999999
5000 50 4 1.0E-5 61.34000000000001
5000 50 5 0.1 75.12
5000 50 5 0.01 75.2
5000 50 5 0.001 67.98
5000 50 5 1.0E-4 54.7
5000 50 5 1.0E-5 55.2
5000 50 6 0.1 73.64
5000 50 6 0.01 71.82
5000 50 6 0.001 67.72
5000 50 6 1.0E-4 52.080000000000005
5000 50 6 1.0E-5 50.720000000000006
5000 50 7 0.1 72.80000000000001
5000 50 7 0.01 74.02
5000 50 7 0.001 61.580000000000005
5000 50 7 1.0E-4 50.53999999999999
5000 50 7 1.0E-5 47.339999999999996
5000 50 8 0.1 72.84
5000 50 8 0.01 71.06
5000 50 8 0.001 63.000000000000014
5000 50 8 1.0E-4 46.06
5000 50 8 1.0E-5 44.17999999999999
5000 50 9 0.1 72.28
5000 50 9 0.01 71.36
5000 50 9 0.001 58.4
5000 50 9 1.0E-4 44.12
5000 50 9 1.0E-5 42.599999999999994
5000 50 10 0.1 73.6
5000 50 10 0.01 67.26
5000 50 10 0.001 55.92
5000 50 10 1.0E-4 41.5
5000 50 10 1.0E-5 40.8
5000 50 15 0.1 69.22
5000 50 15 0.01 64.36
5000 50 15 0.001 51.720000000000006
5000 50 15 1.0E-4 40.17999999999999
5000 50 15 1.0E-5 38.9
5000 50 20 0.1 66.82
5000 50 20 0.01 63.839999999999996
5000 50 20 0.001 48.78
5000 50 20 1.0E-4 36.839999999999996
5000 50 20 1.0E-5 37.739999999999995
5000 50 25 0.1 68.9
5000 50 25 0.01 63.88000000000001
5000 50 25 0.001 50.58
5000 50 25 1.0E-4 38.160000000000004
5000 50 25 1.0E-5 37.94
5000 50 30 0.1 66.58
5000 50 30 0.01 60.179999999999986
5000 50 30 0.001 49.660000000000004
5000 50 30 1.0E-4 36.459999999999994
5000 50 30 1.0E-5 37.36
5000 50 40 0.1 68.16
5000 50 40 0.01 60.839999999999996
5000 50 40 0.001 46.32000000000001
5000 50 40 1.0E-4 35.8
5000 50 40 1.0E-5 35.7
5000 50 50 0.1 66.64
5000 50 50 0.01 58.739999999999995
5000 50 50 0.001 48.96
5000 50 50 1.0E-4 37.38000000000001
5000 50 50 1.0E-5 37.14
5000 50 60 0.1 65.89999999999999
5000 50 60 0.01 58.540000000000006
5000 50 60 0.001 45.480000000000004
5000 50 60 1.0E-4 35.86
5000 50 60 1.0E-5 36.720000000000006
5000 50 70 0.1 66.62
5000 50 70 0.01 59.08
5000 50 70 0.001 46.00000000000001
5000 50 70 1.0E-4 34.84
5000 50 70 1.0E-5 35.120000000000005
5000 60 1 0.1 77.14
5000 60 1 0.01 76.72
5000 60 1 0.001 76.64
5000 60 1 1.0E-4 77.05999999999999
5000 60 1 1.0E-5 76.88000000000001
5000 60 2 0.1 75.99999999999999
5000 60 2 0.01 76.58
5000 60 2 0.001 76.34
5000 60 2 1.0E-4 74.94
5000 60 2 1.0E-5 74.22
5000 60 3 0.1 75.36000000000001
5000 60 3 0.01 75.78
5000 60 3 0.001 73.74000000000001
5000 60 3 1.0E-4 69.84
5000 60 3 1.0E-5 67.78
5000 60 4 0.1 74.28
5000 60 4 0.01 75.30000000000001
5000 60 4 0.001 71.74
5000 60 4 1.0E-4 62.0
5000 60 4 1.0E-5 61.3
5000 60 5 0.1 74.48
5000 60 5 0.01 74.34
5000 60 5 0.001 69.32000000000001
5000 60 5 1.0E-4 56.44
5000 60 5 1.0E-5 55.2
5000 60 6 0.1 73.16
5000 60 6 0.01 71.75999999999999
5000 60 6 0.001 66.84
